id,start_date,start_time,end_date,end_time,Progress,duration,UserLanguage,Attitude_OG_M_1,Attitude_OG_M_2,Attitude_OG_M_3,Attitude_OG_M_4,Attitude_IG_M_1,Attitude_IG_M_2,Attitude_IG_M_3,Attitude_IG_M_4,Allocate_IG_M_1,Allocate_IG_M_2,Allocate_OG_M_1,Allocate_OG_M_2,Allocate_TG_M_1,Allocate_TG_M_2,Attitude_IG_P_1,Attitude_IG_P_2,Attitude_IG_P_3,Attitude_IG_P_4,Attitude_OG_P_1,Attitude_OG_P_2,Attitude_OG_P_3,Attitude_OG_P_4,Allocate_IG_P_1,Allocate_IG_P_2,Allocate_OG_P_1,Allocate_OG_P_2,Allocate_TG_P_1,Allocate_TG_P_2,Attention1_1,MinimalGroupCheck,Attitude_IG_Fam_1,Attitude_IG_Fam_2,Attitude_IG_Fam_3,Attitude_IG_Fam_4,Attitude_OG_Fam_1,Attitude_OG_Fam_2,Attitude_OG_Fam_3,Attitude_OG_Fam_4,Allocate_IG_Fam_1,Allocate_IG_Fam_2,Allocate_OG_Fam_1,Allocate_OG_Fam_2,Allocate_TG_Fam_1,Allocate_TG_Fam_2,Attitude_IG_Nat_1,Attitude_IG_Nat_2,Attitude_IG_Nat_3,Attitude_IG_Nat_4,Attitude_OG_Nat_1,Attitude_OG_Nat_2,Attitude_OG_Nat_3,Attitude_OG_Nat_4,Allocate_IG_Nat_1,Allocate_IG_Nat_2,Allocate_OG_Nat_1,Allocate_OG_Nat_2,Allocate_TG_Nat_1,Allocate_TG_Nat_2,InterpersonalTrust_1,InterpersonalTrust_2,InterpersonalTrust_3,InterpersonalTrust_4,InterpersonalTrust_5,InterpersonalTrust_6,InstitutionTrust_1,InstitutionTrust_2,InstitutionTrust_3,FamilyTie1,FamilyTie2,FamilyTie3_1,FamilyTie3_2,FamilyTie3_3,FamilyTie3_4,Col_Ind_1,Col_Ind_2,Col_Ind_3,Col_Ind_4,Col_Ind_5,Col_Ind_6,Col_Ind_7,Col_Ind_8,Col_Ind_9,Col_Ind_10,Col_Ind_11,Col_Ind_12,Col_Ind_13,Col_Ind_14,SelfEsteem_1,Attention2,Gender,Age,PoliticalAffi_US,PoliticalAffi_UK,PoliticalOrie,Income_when16,Work_situation,Edu,Marital_status,NumChildren,NumSibling,NumCousins,Residence_wParents,Size_of_town,Freq_moving,State_current,State_childhood,Region_current,Region_childhood,Comment,Familiarity_wMGP,MGP_followup,Trade_off_1,Trade_off_2,Trade_off_3,Trade_off_4,Trade_off_5,Trade_off_6,Trade_off_7,Trade_off_8,Trade_off_9,Q_Language,nationality,currency,conversionrate,dvorder,mingroup,ingroupletter,outgroupletter,role,type_group,playedwith,gamepayoff,totalpayoff,totalmoney
p001,2022-04-04,03:01:21,2022-04-04,03:10:50,100,568,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Disagree,Agree,20,0,20,0,10,10,Somewhat Disagree,M,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,0,20,0,10,10,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,20,0,20,0,10,10,Completely,Somewhat,Somewhat,Not very much,Somewhat,Somewhat,Quite a lot,Not very much,Not very much,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Very important,Very important,Not at all important,Not very important,6,2,5 - Neither Agree nor Disagree,6,7,7,5 - Neither Agree nor Disagree,6,6,5 - Neither Agree nor Disagree,7,3,6,6,6,18,Female,25-34,NA,Labour,Somewhat liberal,Average,Employed (full-time),Post-graduate degree,In a relationship (but currently unmarried),0,1,2,No,"2,000 to 10,000 inhabitants",I moved 3-5 times,NA,NA,Cheshire,Lancashire,Views/morals vs upbringing?,No,NA,1,1,3,4,1,1,4,1,5,EN-GB,British,£,0.067,attfirst,secondletter,M,K,allocator,nat_out,another national group,20,20,1.34
p002,2022-04-04,03:03:15,2022-04-04,03:15:19,100,724,EN-GB,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,5,15,5,15,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Disagree,H,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,10,10,10,10,10,10,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,5,15,5,15,10,10,Somewhat,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Rather important,Rather important,Not very important,Rather important,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,4,18,Female,25-34,NA,No affiliation,Moderate,Below average,Employed (full-time),Some college / university,In a relationship (but currently unmarried),3,1,4,No,"10,000 to 100,000 inhabitants",I moved 6-10 times,NA,NA,Devon,Outer London — West and North West,If your loyalty affects your decisions,Yes,Expressing favouritism when placed in a group,3,3,3,3,3,3,3,3,3,EN-GB,British,£,0.067,attfirst,firstletter,H,J,recipient,nat_in_out,another national group,10,10,0.67
p003,2022-04-04,03:07:41,2022-04-04,03:15:35,100,473,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,15,5,18,2,18,2,Somewhat Disagree,J,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,15,5,15,5,10,10,Somewhat Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,18,2,15,5,8,12,Completely,Completely,Completely,Not very much,Somewhat,Somewhat,Not very much,Not very much,None at all,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Not very important,7,1 - Strongly Disagree,3,8,5 - Neither Agree nor Disagree,9 - Strongly Agree,6,7,8,4,8,1 - Strongly Disagree,7,6,7 - Very true of me,18,Female,18-24,NA,Labour,Somewhat liberal,Far below average,Employed (part-time),Completed college / university,Single (never married),0,1,17,Yes,"2,000 to 10,000 inhabitants",I moved 3-5 times,NA,NA,Cheshire,Cheshire,NA,No,NA,1,1,5,1,1,2,4,1,5,EN-GB,British,£,0.067,attfirst,secondletter,J,H,recipient,nat_out_self,another national group,10,10,0.67
p004,2022-04-04,03:01:33,2022-04-04,03:15:48,100,855,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,10,10,10,10,10,10,Somewhat Disagree,M,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,10,10,10,10,10,10,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,10,10,10,10,10,10,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not very much,Not very much,Not very much,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Not at all important,Not at all important,Not at all important,9 - Strongly Agree,9 - Strongly Agree,6,8,8,7,8,9 - Strongly Agree,9 - Strongly Agree,9 - Strongly Agree,8,8,8,8,2,18,Female,18-24,NA,No affiliation,Moderate,Average,Employed (full-time),Some college / university,In a relationship (but currently unmarried),0,1,3,Yes,"10,000 to 100,000 inhabitants",I didn't move,NA,NA,Greater Manchester,Greater Manchester,NA,No,NA,2,4,2,4,2,2,4,1,5,EN-GB,British,£,0.067,allofirst,secondletter,M,K,allocator,min_in,Group M,10,10,0.67
p005,2022-04-04,03:08:46,2022-04-04,03:17:42,100,536,EN-GB,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,15,5,15,5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Disagree,H,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,10,10,10,10,10,10,Somewhat Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,10,10,10,10,10,10,Completely,Not very much,Somewhat,Not very much,Somewhat,Somewhat,Quite a lot,Quite a lot,Not very much,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Rather important,Not at all important,Rather important,8,7,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,6,6,5 - Neither Agree nor Disagree,8,2,6,6,7,5 - Neither Agree nor Disagree,8,2,18,Female,35-44,NA,Labour,Moderate,Average,Employed (part-time),Completed college / university,Married,2,1,6,No,"2,000 to 10,000 inhabitants",I moved once or twice,NA,NA,Derbyshire and Nottinghamshire,Derbyshire and Nottinghamshire,NA,No,NA,1,3,4,5,1,5,2,1,5,EN-GB,British,£,0.067,attfirst,firstletter,H,J,allocator,nat_in,your national group,10,10,0.67
p006,2022-04-04,03:07:40,2022-04-04,03:17:56,100,615,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,10,10,15,5,10,10,Somewhat Disagree,N,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,10,10,15,5,10,10,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,15,5,15,5,10,10,Completely,Not very much,Completely,Somewhat,Somewhat,Somewhat,Quite a lot,Quite a lot,Quite a lot,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Rather important,Not very important,Rather important,3,1 - Strongly Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,7,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,6,2,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,5,18,Female,55-64,NA,Conservative,Conservative,Below average,Other,Completed high school,Married,0,6,0,No,"Up to 2,000 inhabitants",I didn't move,NA,NA,Devon,Devon,NA,No,NA,2,2,4,2,2,3,4,2,4,EN-GB,British,£,0.067,allofirst,secondletter,N,L,recipient,nat_in_out,another national group,10,10,0.67
p007,2022-04-04,03:09:26,2022-04-04,03:19:12,100,585,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,18,2,18,2,10,10,Somewhat Disagree,N,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,13,7,17,3,15,5,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,13,7,15,5,15,5,Completely,Not very much,Somewhat,Not very much,Somewhat,Somewhat,Not very much,Not very much,None at all,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not very important,Rather important,5 - Neither Agree nor Disagree,6,5 - Neither Agree nor Disagree,6,6,6,6,6,6,6,7,4,5 - Neither Agree nor Disagree,7,2,18,Female,25-34,NA,Labour,Somewhat liberal,Average,Employed (full-time),Post-graduate degree,In a relationship (but currently unmarried),0,1,6,No,"10,000 to 100,000 inhabitants",I moved once or twice,NA,NA,Inner London — East,Bedfordshire and Hertfordshire,None,No,NA,1,2,3,3,1,3,4,2,4,EN-GB,British,£,0.067,attfirst,secondletter,N,L,recipient,nat_out_self,another national group,10,10,0.67
p008,2022-04-04,03:11:54,2022-04-04,03:19:52,100,478,EN-GB,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,20,0,20,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Disagree,K,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,20,0,20,0,20,0,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,20,0,20,0,10,10,Somewhat,Somewhat,Somewhat,Not very much,Somewhat,Somewhat,Not very much,Quite a lot,Not very much,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Very important,Very important,7,8,8,4,6,6,2,5 - Neither Agree nor Disagree,7,7,6,2,1 - Strongly Disagree,7,3,18,Female,18-24,NA,No affiliation,Somewhat liberal,Above average,Student,Some college / university,In a relationship (but currently unmarried),0,3,30,Yes,"2,000 to 10,000 inhabitants",I moved once or twice,NA,NA,Inner London — West,Inner London — West,Attitudes toward competition and cooperation between groups of different affiliations to you.,No,NA,2,2,3,2,2,2,3,1,4,EN-GB,British,£,0.067,attfirst,firstletter,K,M,allocator,nat_out,another national group,020,20,1.34
p009,2022-04-04,03:06:21,2022-04-04,03:20:28,100,846,EN-GB,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Disagree,P,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,10,10,10,10,10,10,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,10,10,10,10,10,10,Completely,Somewhat,Completely,Somewhat,Somewhat,Somewhat,A great deal,Quite a lot,Not very much,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Not very important,5 - Neither Agree nor Disagree,6,5 - Neither Agree nor Disagree,4,7,6,5 - Neither Agree nor Disagree,7,6,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,6,6,6,4,18,Male,75 or above,NA,No affiliation,A little conservative,Average,Pensioned/Retired,Completed college / university,Other,3,0,1,No,"2,000 to 10,000 inhabitants",I moved once or twice,NA,NA,East Anglia,East Anglia,NA,No,NA,2,3,4,2,2,4,2,2,4,EN-GB,British,£,0.067,attfirst,firstletter,P,S,allocator,min_in,Group P,10,10,0.67
p010,2022-04-04,03:09:21,2022-04-04,03:21:14,100,713,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,10,10,15,5,10,10,Somewhat Disagree,J,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,10,10,20,0,15,5,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Agree,15,5,15,5,10,10,Completely,Completely,Completely,Somewhat,Somewhat,Somewhat,Quite a lot,Quite a lot,Not very much,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Rather important,7,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,4,6,6,5 - Neither Agree nor Disagree,7,3,6,7,2,6,8,5,18,Female,18-24,NA,Labour,Somewhat liberal,Below average,Student,Completed college / university,In a relationship (but currently unmarried),0,1,3,Yes,"10,000 to 100,000 inhabitants",I moved once or twice,NA,NA,"Northumberland, and Tyne and Wear","Northumberland, and Tyne and Wear",Comparing people’s values and making decisions,No,NA,1,3,2,3,1,2,3,1,5,EN-GB,British,£,0.067,allofirst,secondletter,J,H,recipient,nat_out_self,another national group,10,10,0.67
p011,2022-04-04,03:14:45,2022-04-04,03:21:21,100,395,EN-GB,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Disagree,L,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,10,10,10,10,10,10,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,10,10,10,10,10,10,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Quite a lot,Quite a lot,Quite a lot,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Rather important,Not at all important,Rather important,4,6,6,6,6,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,6,7,6,7,7,7,6,5,18,Female,25-34,NA,Labour,Somewhat liberal,Above average,Employed (part-time),Completed college / university,Married,3,1,15,No,"10,000 to 100,000 inhabitants",I moved once or twice,NA,NA,East Anglia,East Anglia,NA,No,NA,2,2,2,2,2,2,2,3,3,EN-GB,British,£,0.067,attfirst,firstletter,L,N,allocator,nat_out,another national group,10,10,0.67
p012,2022-04-04,03:11:24,2022-04-04,03:22:49,100,685,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Somewhat Agree,10,10,10,10,10,10,Somewhat Disagree,M,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,15,5,10,10,5,15,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,10,10,10,10,10,10,Completely,Not very much,Completely,Not very much,Somewhat,Somewhat,Quite a lot,Quite a lot,Quite a lot,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Not very important,7,4,6,2,4,7,5 - Neither Agree nor Disagree,6,5 - Neither Agree nor Disagree,7,8,3,6,8,2,18,Female,35-44,NA,Conservative,A little liberal,Above average,Employed (part-time),Completed college / university,Single (never married),0,1,2,No,"More than 500,000 inhabitants",I moved 3-5 times,NA,NA,Inner London — East,Inner London — West,NA,No,NA,1,4,4,2,1,2,4,1,5,EN-GB,British,£,0.067,attfirst,secondletter,M,K,recipient,nat_in_out,another national group,10,10,0.67
p013,2022-04-04,03:04:41,2022-04-04,03:23:25,100,1124,EN-GB,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,15,5,18,2,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Disagree,K,Agree,Agree,Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,15,5,18,2,15,5,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,15,5,18,2,15,5,Somewhat,Somewhat,Completely,Somewhat,Somewhat,Somewhat,A great deal,Quite a lot,Quite a lot,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Rather important,Rather important,8,8,8,6,7,7,8,8,7,8,7,6,6,8,5,18,Female,55-64,NA,No affiliation,Moderate,Below average,Pensioned/Retired,Completed primary school,Married,2,2,25,No,"10,000 to 100,000 inhabitants",I moved once or twice,NA,NA,Shropshire and Staffordshire,Lancashire,"Attitude towards refugees and aid, especially in view of the current situation in the Ukraine",No,NA,3,2,4,2,2,2,2,2,3,EN-GB,British,£,0.067,allofirst,firstletter,K,M,allocator,min_out,Group M,018,18,1.206
p014,2022-04-04,03:15:36,2022-04-04,03:23:32,100,475,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,15,5,15,5,12,8,Somewhat Disagree,M,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,15,5,18,2,15,5,Somewhat Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,20,0,5,15,0,20,Completely,Not very much,Somewhat,Somewhat,Somewhat,Somewhat,None at all,None at all,None at all,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Rather important,Rather important,3,2,1 - Strongly Disagree,1 - Strongly Disagree,6,7,5 - Neither Agree nor Disagree,8,5 - Neither Agree nor Disagree,3,3,1 - Strongly Disagree,2,6,2,18,Male,45-54,NA,Other party,Very liberal,Below average,Employed (full-time),Post-graduate degree,In a relationship (but currently unmarried),0,1,6,No,"2,000 to 10,000 inhabitants",I didn't move,NA,NA,Kent,East Wales,How much you value other people and therefore how much you would share with them,No,NA,2,2,2,3,2,1,3,4,3,EN-GB,British,£,0.067,attfirst,secondletter,M,K,allocator,min_out,Group K,15,15,1.005
p015,2022-04-04,03:10:53,2022-04-04,03:23:47,100,773,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Disagree,Agree,Neither Agree nor Disagree,Somewhat Disagree,Disagree,Agree,13,7,12,8,10,10,Somewhat Disagree,S,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,13,7,14,6,13,7,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,13,7,12,8,10,10,Completely,Somewhat,Completely,Somewhat,Somewhat,Somewhat,Quite a lot,Quite a lot,Not very much,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Very important,Very important,Not at all important,Rather important,8,5 - Neither Agree nor Disagree,4,7,7,7,7,6,5 - Neither Agree nor Disagree,6,6,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,8,2,18,Female,18-24,NA,No affiliation,Very liberal,Average,Student,Some college / university,Other,0,2,5,No,"2,000 to 10,000 inhabitants",I moved once or twice,NA,NA,Derbyshire and Nottinghamshire,Derbyshire and Nottinghamshire,NA,Yes,"I have only heard the name
",3,2,3,3,2,2,4,3,4,EN-GB,British,£,0.067,allofirst,secondletter,S,P,recipient,nat_in_out,another national group,10,10,0.67
p016,2022-04-04,03:15:53,2022-04-04,03:23:47,100,474,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,20,0,10,10,10,10,Somewhat Disagree,N,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,0,10,10,0,20,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,10,10,10,10,10,10,Completely,Somewhat,Completely,Not very much,Somewhat,Somewhat,Not very much,Not very much,Quite a lot,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Very important,Very important,Not at all important,Rather important,8,3,4,6,7,5 - Neither Agree nor Disagree,5 - Neither Agree nor Disagree,4,6,6,4,5 - Neither Agree nor Disagree,4,8,4,18,Female,25-34,NA,Labour,Somewhat liberal,Below average,Employed (full-time),Completed college / university,Single (but married in the past),0,3,3,No,"Up to 2,000 inhabitants",I moved 6-10 times,NA,NA,Inner London — East,"Leicestershire, Rutland and Northamptonshire",NA,No,NA,3,3,3,3,1,3,3,1,5,EN-GB,British,£,0.067,attfirst,secondletter,N,L,recipient,nat_out_self,another national group,10,10,0.67
p017,2022-04-04,03:15:59,2022-04-04,03:23:57,100,478,EN-GB,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,18,2,20,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat Disagree,L,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,18,2,18,2,18,2,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,20,0,20,0,10,10,Somewhat,Not very much,Somewhat,Not at all,Not very much,Not very much,None at all,None at all,None at all,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Rather important,Not very important,Not very important,8,6,7,4,7,8,7,7,4,6,4,7,4,8,3,18,Female,25-34,NA,Labour,Moderate,Far below average,Employed (part-time),Completed college / university,Married,2,1,2,No,"10,000 to 100,000 inhabitants",I moved 3-5 times,NA,NA,South Yorkshire,South Yorkshire,NA,No,NA,2,4,2,4,2,2,4,3,3,EN-GB,British,£,0.067,allofirst,firstletter,L,N,allocator,nat_in,your national group,20,20,1.34
