successes,trials,mean,lower,upper,n_ids,n_countries,beta_MGE,random_country,class
1000,1000,1,0.9963179161,1,100,40,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,150,40,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,200,40,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,250,40,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,100,50,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,150,50,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,200,50,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,250,50,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,100,60,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,150,60,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,200,60,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,250,60,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,100,20,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,150,20,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,200,20,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,250,20,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,100,30,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,150,30,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,200,30,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,250,30,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,100,40,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,150,40,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,200,40,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,250,40,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,100,50,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,150,50,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,200,50,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,250,50,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,100,60,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,150,60,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,200,60,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,250,60,0.15,1.5,rq3
1000,1000,1,0.9963179161,1,150,20,0.15,0.9,rq3
1000,1000,1,0.9963179161,1,150,20,0.15,0.9,rq3
1000,1000,1,0.9963179161,1,200,20,0.15,0.9,rq3
1000,1000,1,0.9963179161,1,250,20,0.15,0.9,rq3
1000,1000,1,0.9963179161,1,100,30,0.15,0.9,rq3
1000,1000,1,0.9963179161,1,150,30,0.15,0.9,rq3
