n_ids,n_countries,successes,bias_es,random,trials,mean,lower,upper,powered,class
250,40,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
250,50,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
250,60,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
300,20,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
300,30,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
300,40,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
300,50,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
300,60,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
350,20,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
350,30,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
350,40,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
350,50,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
350,60,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
400,20,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
400,30,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
400,40,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
400,50,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
400,60,1000,0.16,0.55,1000,1,0.9963179161,1,yes,rq3
100,20,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
100,30,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
100,40,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
100,50,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
100,60,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
150,20,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
150,30,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
150,40,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
150,50,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
150,60,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
200,20,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
200,30,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
200,40,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
200,50,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
200,60,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
250,20,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
250,30,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
250,40,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
250,50,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
250,60,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
300,20,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
300,30,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
300,40,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
300,50,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
300,60,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
350,20,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
350,30,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
350,40,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
350,50,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
350,60,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
400,20,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
400,30,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
400,40,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
400,50,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
400,60,1000,0.16,0.8,1000,1,0.9963179161,1,yes,rq3
100,20,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
100,30,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
100,40,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
100,50,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
100,60,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
150,20,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
150,30,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
150,40,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
150,50,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
150,60,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
200,20,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
200,30,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
200,40,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
200,50,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
200,60,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
250,20,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
250,30,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
250,40,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
250,50,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
250,60,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
300,20,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
300,30,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
300,40,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
300,50,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
300,60,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
350,20,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
350,30,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
350,40,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
350,50,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
350,60,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
400,20,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
400,30,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
400,40,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
400,50,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
400,60,1000,0.16,1.5,1000,1,0.9963179161,1,yes,rq3
